序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
201,000162,沪互联+,3689.85,-0.57,-21.2,18802113,46974146536.0,1.78,3725.3,3659.14,3686.38,3711.05,0.73
202,000911,300可选,6372.14,-0.57,-36.4,5327995,27278484522.0,1.04,6403.71,6337.12,6381.76,6408.54,0.79
203,000300,沪深300,4643.6,-0.57,-26.82,202716477,505759806237.8,1.53,4678.26,4606.64,4622.97,4670.42,0.73
204,000998,中证TMT,3046.66,-0.57,-17.48,49589106,238965098307.0,2.38,3085.46,3012.45,3030.89,3064.14,0.74
205,000064,非周期,3659.26,-0.58,-21.52,65101683,180669863101.0,1.46,3686.56,3632.95,3650.88,3680.78,0.7
206,000030,180R成长,2658.55,-0.58,-15.54,78604122,215552712516.0,1.79,2678.72,2630.84,2638.94,2674.09,0.7
207,000008,综合指数,3507.16,-0.58,-20.57,102584203,109754766407.1,1.04,3526.63,3489.86,3516.5,3527.73,0.76
208,000048,责任指数,1472.29,-0.59,-8.79,38529317,75402519336.0,1.18,1480.28,1462.82,1470.33,1481.08,0.67
209,000057,全指成长,4010.12,-0.59,-23.67,46717375,172601480278.0,1.89,4045.17,3969.11,3978.69,4033.79,0.72
210,000969,300非周,5357.17,-0.61,-32.77,101216570,365015983733.0,1.61,5402.52,5315.52,5342.19,5389.94,0.74
211,000925,基本面50,4515.02,-0.61,-27.71,62058232,95140689656.0,1.15,4538.78,4486.49,4518.14,4542.73,0.7
212,000018,180金融,5683.82,-0.62,-35.35,38337722,42062750761.0,1.21,5723.26,5653.9,5695.33,5719.17,0.77
213,000858,500信息,11409.83,-0.62,-70.93,23057660,86751909700.0,2.61,11592.13,11292.66,11373.3,11480.76,0.83
214,000971,等权90,3350.32,-0.63,-21.12,74568689,293525688249.0,1.5,3374.32,3323.82,3338.1,3371.44,0.72
215,000134,上证银行,974.99,-0.63,-6.19,32078452,24087633389.0,1.34,982.74,969.61,978.19,981.18,0.82
216,000077,信息等权,6368.41,-0.63,-40.35,14241178,86682846207.0,2.2,6450.2,6309.3,6336.44,6408.76,0.79
217,000974,800金融,6803.36,-0.64,-43.54,58929192,63061654208.0,1.03,6844.7,6774.12,6817.9,6846.9,0.76
218,000155,市值百强,3308.69,-0.64,-21.15,93801322,212512693239.0,1.38,3329.11,3283.14,3294.44,3329.84,0.68
219,000052,50基本,2967.52,-0.65,-19.4,46789818,133605955584.0,1.21,2981.4,2945.3,2962.56,2986.92,0.69
220,000699,科创200,1489.89,-0.66,-9.92,10889231,56719947194.0,2.45,1514.23,1477.53,1480.95,1499.81,0.8
221,000028,180成长,4060.74,-0.66,-26.79,32536726,124880092575.0,1.9,4092.79,4015.21,4025.57,4087.53,0.69
222,000038,上证金融,5666.6,-0.67,-38.27,34335489,38221684246.0,1.27,5708.4,5635.75,5679.71,5704.87,0.77
223,000849,300非银,10969.76,-0.68,-75.55,12211516,25649216086.0,1.12,11051.14,10927.75,10982.27,11045.31,0.65
224,000039,上证信息,5638.62,-0.69,-39.01,14241178,86682846207.0,2.45,5706.39,5567.55,5604.12,5677.63,0.79
225,000914,300金融,6476.25,-0.69,-45.05,48841807,53665141157.5,1.15,6522.66,6447.73,6493.25,6521.3,0.75
226,000147,优势消费,6767.41,-0.69,-46.81,6461738,32884470913.0,1.28,6837.52,6750.06,6809.37,6814.22,0.79
227,000125,180稳定,11687.7,-0.69,-81.05,69100466,100256191883.0,1.22,11766.74,11623.74,11715.65,11768.75,0.74
228,000934,中证金融,6078.66,-0.69,-42.06,66761365,67863895356.4,1.06,6118.88,6054.04,6093.99,6120.72,0.75
229,000992,全指金融,5821.76,-0.69,-40.17,84678695,79512248763.0,1.03,5858.87,5798.44,5835.82,5861.93,0.76
230,000016,上证50,3037.86,-0.69,-21.15,46789818,133605955584.0,1.32,3056.0,3015.63,3027.17,3059.01,0.69
231,000034,上证工业,2311.54,-0.7,-16.3,42856364,49283635001.0,1.35,2329.21,2297.81,2310.99,2327.84,0.71
232,000688,科创50,1422.41,-0.71,-10.11,13035099,62257704857.0,2.44,1440.81,1405.87,1415.05,1432.52,0.9
233,000103,沪消费品,8100.17,-0.72,-58.75,5620398,37299777624.0,1.12,8172.14,8080.84,8155.78,8158.92,0.93
234,000867,港中小企,2862.31,-0.73,-20.98,23800511,26042599391.1,1.9,2886.96,2832.08,2857.74,2883.29,0.62
235,000019,治理指数,1265.19,-0.74,-9.42,95521250,176457164322.0,1.21,1273.03,1257.64,1262.26,1274.61,0.72
236,000055,上证地企,1628.19,-0.74,-12.08,35240098,87439547999.0,1.45,1638.55,1614.82,1617.14,1640.27,0.72
237,000069,消费80,4926.05,-0.76,-37.73,15825308,63003922517.0,1.12,4958.04,4902.56,4947.59,4963.78,0.87
238,000021,180治理,1101.77,-0.76,-8.49,69339269,131948097086.0,1.23,1108.18,1094.5,1099.35,1110.26,0.7
239,000945,内地运输,1500.9,-0.78,-11.86,15579731,12092166451.0,0.82,1508.94,1496.54,1505.84,1512.76,0.7
240,000959,银河99,8094.93,-0.81,-66.42,73078916,282386349437.0,1.02,8137.38,8054.44,8100.77,8161.35,0.72
241,000918,300成长,5123.02,-0.83,-43.01,43710830,249030750042.0,1.8,5172.92,5080.14,5098.8,5166.03,0.74
242,000126,消费50,8264.74,-0.86,-71.41,12253173,48183798506.0,1.34,8325.61,8213.86,8301.73,8336.15,0.86
243,000691,科创ESG,1573.67,-0.87,-13.74,4758624,42147789676.0,1.95,1591.92,1560.92,1572.5,1587.41,0.72
244,000027,180运输,776.49,-0.87,-6.81,7494188,5832487885.0,0.89,781.04,774.1,780.27,783.3,0.69
245,000682,科创信息,2149.76,-0.92,-19.97,6198755,63261042246.0,2.37,2180.12,2128.63,2141.53,2169.73,0.7
246,000171,新兴成指,1819.02,-0.96,-17.69,28032100,206336831585.0,2.59,1846.88,1799.24,1814.54,1836.71,0.76
247,000148,消费领先,9422.8,-0.96,-91.46,47430360,113573984929.0,0.91,9483.03,9396.57,9461.28,9514.26,0.77
248,000062,上证沪企,2134.52,-0.98,-21.02,17559530,39175471594.0,1.04,2151.83,2129.47,2141.12,2155.54,0.74
249,000170,50AH优选,6354.17,-1.0,-63.94,28646944,93954712145.1,1.4,6394.16,6304.6,6334.68,6418.11,0.69
