序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
362,CESA80,中华 A80,8105.73,-0.67,-54.42,71502144,201663143668.0,1.36,8159.99,8049.11,8089.85,8160.15,0.71
363,931079,5G通信,1906.95,-0.67,-12.95,30169783,167659211029.0,3.75,1945.89,1873.88,1893.31,1919.9,0.93
364,931477,华夏银行ESG,1452.09,-0.67,-9.79,77635720,235115662258.0,1.58,1463.6,1440.55,1446.27,1461.88,0.68
365,H30035,300非银,10969.76,-0.68,-75.55,12211516,25649216086.0,1.12,11051.14,10927.75,10982.27,11045.31,0.65
366,931479,证券保险,1052.8,-0.69,-7.33,13682657,26354239946.0,1.15,1061.28,1049.08,1054.21,1060.13,0.65
367,931840,大盘蓝筹25USD,1598.69,-0.69,-11.06,25087795,15592223440.4,1.63,1611.1,1584.86,1593.26,1609.75,0.71
368,930725,CS车联网,1500.36,-0.69,-10.46,9349645,38802298593.0,1.87,1515.8,1487.52,1499.05,1510.82,0.76
369,931591,1000成长创新,35007.02,-0.7,-245.51,26881939,73849238178.0,2.3,35545.53,34734.01,34874.78,35252.53,1.0
370,H30318,科技传媒通信150,3164.84,-0.7,-22.41,46992666,276120714530.0,2.87,3217.07,3125.74,3146.42,3187.25,0.8
371,930767,沪深300优选,6346.15,-0.7,-44.94,149751262,416879485450.5,1.62,6393.42,6289.88,6317.72,6391.09,0.73
372,H11043,AMAC交运,1851.12,-0.7,-13.02,27423779,20079620434.0,0.91,1861.12,1844.16,1855.31,1864.14,0.74
373,931380,科技50,3174.82,-0.7,-22.36,19839788,119029795565.0,2.42,3216.56,3139.08,3162.05,3197.18,0.76
374,931696,科技50策略,20564.97,-0.71,-147.39,21943601,163514037783.0,2.64,20875.19,20328.86,20493.18,20712.36,0.75
375,930651,CS计算机,8190.55,-0.71,-58.62,21366779,59923573549.0,2.29,8300.41,8111.36,8185.51,8249.17,0.8
376,931791,大盘蓝筹25,1789.8,-0.71,-12.71,25087795,108214701233.0,1.62,1803.54,1774.32,1784.04,1802.51,0.71
377,931268,持续发展,2218.3,-0.71,-15.77,46944945,211056778906.0,1.3,2234.43,2205.38,2212.85,2234.07,0.72
378,930957,港股通中国100,3879.34,-0.71,-27.78,35186225,101447876415.3,1.79,3904.31,3834.47,3837.85,3907.12,0.75
379,931647,兴银理财均衡300,6869.05,-0.72,-49.6,146708751,426334027777.0,1.6,6929.33,6818.8,6844.58,6918.65,0.73
380,931598,中银证券300 ESG,1506.61,-0.72,-10.93,202716477,505759806191.0,1.34,1517.3,1497.02,1503.41,1517.54,0.73
381,930716,CS物流,1207.23,-0.73,-8.9,15269229,11774021834.0,1.2,1215.3,1200.65,1208.34,1216.13,0.67
382,H30192,食品,5756.15,-0.73,-42.45,11715784,16099532591.0,0.98,5808.45,5751.68,5773.95,5798.6,0.97
383,H30171,运输指数,1639.9,-0.74,-12.3,27184009,20099581013.0,0.95,1649.85,1634.11,1643.8,1652.2,0.71
384,930999,SHS大湾区,1588.77,-0.75,-12.05,37626335,134057977912.9,1.71,1600.15,1572.79,1580.28,1600.82,0.76
