fund_code,fund_type,actual_growth,estimated_growth,deviation,deviation_level
010992,指数型-股票,0.0,0.0,0.0,0.0
010993,指数型-股票,0.0,0.0,0.0,0.0
004222,债券型-混合二级,0.0,-5.5379999999999984e-08,-5.5379999999999984e-08,0.0
004402,债券型-混合二级,0.0,-5.5379999999999984e-08,-5.5379999999999984e-08,0.0
011164,混合型-偏股,-0.34,-0.34003108503039997,-3.108503039994659e-05,0.0
001485,混合型-偏债,0.0,-3.352404000000038e-05,-3.352404000000038e-05,0.0
004348,指数型-股票,0.0,7.326524e-05,7.326524e-05,0.0
021059,指数型-股票,0.0,7.326524e-05,7.326524e-05,0.0
022921,指数型-股票,0.0,7.326524e-05,7.326524e-05,0.0
005078,债券型-混合二级,-0.01,-0.009918357119999999,8.164288000000151e-05,0.0
005727,指数型-股票,0.0,8.223813500000001e-05,8.223813500000001e-05,0.0
070030,指数型-股票,0.0,8.223813500000001e-05,8.223813500000001e-05,0.0
023941,指数型-股票,-0.33,-0.3298943806199999,0.00010561938000008819,0.0
023942,指数型-股票,-0.33,-0.3298943806199999,0.00010561938000008819,0.0
110009,混合型-偏股,-0.44,-0.43984516412399993,0.0001548358760000701,0.0
021812,混合型-偏股,0.13,0.13016013534999996,0.00016013534999995138,0.0
021813,混合型-偏股,0.13,0.13016013534999996,0.00016013534999995138,0.0
011746,混合型-偏债,-0.04,-0.03979737025320001,0.00020262974679999268,0.0
010270,债券型-混合二级,0.0,-0.0002078372000000001,-0.0002078372000000001,0.0
001862,债券型-混合二级,0.02,0.020237117580000002,0.00023711758000000138,0.0
001863,债券型-混合二级,0.02,0.020237117580000002,0.00023711758000000138,0.0
013733,混合型-偏股,-0.15,-0.150281525342,-0.00028152534200001633,0.0
020005,混合型-灵活,1.03,1.0297081592,-0.00029184080000010937,0.0
010984,混合型-偏债,0.04,0.039699698868,-0.000300301132000004,0.0
009215,混合型-灵活,-0.2,-0.199696176168,0.0003038238320000053,0.0
180018,混合型-灵活,-0.77,-0.7696272970480001,0.00037270295199987036,0.0
016546,混合型-偏债,-0.02,-0.0195771681415,0.00042283185849999877,0.0
002358,混合型-灵活,-0.49,-0.48957143558,0.0004285644199999994,0.0
011616,混合型-灵活,-0.49,-0.48957143558,0.0004285644199999994,0.0
009664,混合型-偏股,-0.22,-0.22047824032470004,-0.0004782403247000355,0.0
012965,混合型-偏债,-0.05,-0.050533894809599994,-0.0005338948095999912,0.0
012966,混合型-偏债,-0.05,-0.050533894809599994,-0.0005338948095999912,0.0
003471,债券型-混合二级,0.0,-0.0005915853000000003,-0.0005915853000000003,0.0
003472,债券型-混合二级,0.0,-0.0005915853000000003,-0.0005915853000000003,0.0
001418,混合型-灵活,0.0,0.0006022502600000002,0.0006022502600000002,0.0
002273,混合型-灵活,0.0,0.0006022502600000002,0.0006022502600000002,0.0
010816,债券型-混合二级,0.0,-0.00065412893,-0.00065412893,0.0
015945,混合型-偏股,-1.7,-1.69934100354,0.0006589964599998943,0.0
005526,混合型-灵活,-0.86,-0.85927943052,0.0007205694799999884,0.0
001028,股票型,-0.12,-0.120742358112,-0.000742358112000005,0.0
000746,股票型,-0.39,-0.389228475636,0.0007715243640000202,0.0
004720,混合型-偏债,0.0,-0.0007965601614999989,-0.0007965601614999989,0.0
004721,混合型-偏债,0.0,-0.0007965601614999989,-0.0007965601614999989,0.0
004534,债券型-混合二级,0.0,-0.0008106428230000003,-0.0008106428230000003,0.0
011064,混合型-偏债,-0.03,-0.030816448927000008,-0.0008164489270000089,0.0
009691,混合型-偏债,-0.03,-0.029176273602000004,0.0008237263979999944,0.0
009692,混合型-偏债,-0.03,-0.029176273602000004,0.0008237263979999944,0.0
005616,混合型-灵活,0.4,0.40083433739999996,0.0008343373999999404,0.0
020126,混合型-灵活,0.4,0.40083433739999996,0.0008343373999999404,0.0
003845,混合型-灵活,0.0,-0.00084396936,-0.00084396936,0.0
016865,指数型-股票,0.03,0.029150541203999993,-0.0008494587960000063,0.0
016866,指数型-股票,0.03,0.029150541203999993,-0.0008494587960000063,0.0
002351,债券型-混合二级,0.0,-0.0008517436499999991,-0.0008517436499999991,0.0
014809,混合型-偏债,-0.03,-0.029069290301000004,0.0009307096989999951,0.0
014810,混合型-偏债,-0.03,-0.029069290301000004,0.0009307096989999951,0.0
003096,混合型-偏股,-0.02,-0.01902287457,0.0009771254299999997,0.0
018132,指数型-股票,0.34,0.34101105187999997,0.0010110518799999468,0.0
018133,指数型-股票,0.34,0.34101105187999997,0.0010110518799999468,0.0
021491,混合型-偏股,-0.35,-0.34890413951999993,0.0010958604800000438,0.0
001164,混合型-灵活,0.0,-0.0011032370400000005,-0.0011032370400000005,0.0
018448,混合型-灵活,0.0,-0.0011032370400000005,-0.0011032370400000005,0.0
009798,混合型-偏股,-0.32,-0.32114870706000004,-0.0011487070600000315,0.0
012605,指数型-股票,-0.65,-0.6488441219399999,0.0011558780600001706,0.0
540007,股票型,0.01,0.01117205712000002,0.0011720571200000193,0.0
023934,指数型-股票,-0.33,-0.32882169902999997,0.0011783009700000457,0.0
023935,指数型-股票,-0.33,-0.32882169902999997,0.0011783009700000457,0.0
001449,混合型-灵活,-0.09,-0.09118122173999998,-0.001181221739999988,0.0
024071,指数型-股票,-0.77,-0.7711879895100001,-0.0011879895100000981,0.0
024072,指数型-股票,-0.77,-0.7711879895100001,-0.0011879895100000981,0.0
017113,混合型-偏股,-0.64,-0.6412376269949999,-0.001237626994999852,0.0
005450,混合型-灵活,-0.19,-0.19125380616,-0.0012538061600000094,0.0
004010,混合型-灵活,-0.03,-0.02873878403,0.00126121597,0.0
008113,指数型-股票,0.02,0.018737604072000005,-0.0012623959279999958,0.0
010572,指数型-股票,-0.07,-0.0712636722,-0.0012636721999999961,0.0
022857,指数型-股票,-0.27,-0.268682322818,0.0013176771820000432,0.0
000045,债券型-混合二级,0.0,-0.0013179216000000003,-0.0013179216000000003,0.0
000046,债券型-混合二级,0.0,-0.0013179216000000003,-0.0013179216000000003,0.0
025419,指数型-股票,0.01,0.011449031999999994,0.0014490319999999942,0.0
019079,股票型,-0.55,-0.5515176241415999,-0.0015176241415998382,0.0
019080,股票型,-0.55,-0.5515176241415999,-0.0015176241415998382,0.0
001393,混合型-灵活,-0.58,-0.5784795059519,0.0015204940480999518,0.0
012946,混合型-偏债,-0.03,-0.028449593798199998,0.001550406201800001,0.0
002224,混合型-绝对收益,0.0,0.001581219999999995,0.001581219999999995,0.0
014198,股票型,0.01,0.008416419689999998,-0.0015835803100000025,0.0
003401,债券型-混合二级,-0.01,-0.008405365319999998,0.0015946346800000018,0.0
001759,混合型-灵活,-0.59,-0.59160046875,-0.0016004687500000836,0.0
009622,混合型-偏债,-0.02,-0.018398692270099996,0.0016013077299000048,0.0
011302,混合型-偏债,-0.02,-0.0183810994432,0.0016189005568000014,0.0
012010,混合型-偏债,-0.02,-0.018355398676999993,0.0016446013230000077,0.0
000406,债券型-混合二级,0.02,0.01833933563,-0.001660664370000002,0.0
000407,债券型-混合二级,0.02,0.01833933563,-0.001660664370000002,0.0
002583,混合型-灵活,0.49,0.49166933788200023,0.0016693378820002436,0.0
013234,指数型-股票,0.06,0.061673072112000016,0.001673072112000018,0.0
009055,混合型-偏股,0.64,0.63832619774,-0.0016738022600000235,0.0
009056,混合型-偏股,0.64,0.63832619774,-0.0016738022600000235,0.0
015136,混合型-偏股,0.5,0.498289990492,-0.0017100095079999877,0.0
010436,债券型-混合二级,0.0,-0.0017333831583999995,-0.0017333831583999995,0.0
014362,混合型-偏债,-0.07,-0.06825202300699999,0.0017479769930000139,0.0
022840,指数型-股票,0.05,0.048204613080000014,-0.001795386919999989,0.0
022841,指数型-股票,0.05,0.048204613080000014,-0.001795386919999989,0.0
023570,混合型-偏股,0.42,0.4219348927316857,0.0019348927316857334,0.0
023571,混合型-偏股,0.42,0.4219348927316857,0.0019348927316857334,0.0
010439,混合型-偏债,-0.01,-0.01197318549,-0.0019731854899999995,0.0
010890,混合型-偏债,-0.01,-0.011995172343399996,-0.001995172343399996,0.0
