代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688701,卓锦股份,10.66,0.15,1.427,10.64,10.66,10.51,10.47,10.89,10.43,2432655,25969611,15:00:01,-17.475,9.756,143139.678552,143139.678552,1.81166
sh688702,盛科通信,134.7,-3.1,-2.25,134.69,134.7,137.8,137.2,140.98,132.12,4329500,588939445,15:00:03,-792.353,23.247,5522700.0,2734299.31701,2.13284
sh688707,振华新材,14.2,0.22,1.574,14.19,14.2,13.98,14.0,14.43,13.81,5038120,71622285,15:00:03,-13.524,1.768,722411.0911,722411.0911,0.99031
sh688708,佳驰科技,61.49,-0.23,-0.373,61.48,61.49,61.72,61.65,61.96,60.5,858679,52751832,15:34:59,43.187,7.44,2459661.49,874857.27615,0.60353
sh688709,成都华微,46.82,-0.68,-1.432,46.82,46.83,47.5,47.0,48.0,46.36,4756875,224886597,15:34:59,234.1,10.371,2981717.775732,1020311.979182,2.18283
sh688710,益诺思,61.61,0.86,1.416,61.61,61.63,60.75,60.7,63.15,59.59,1078275,66374850,15:00:01,48.897,3.717,868575.408015,558765.512204,1.18892
sh688711,宏微科技,29.93,-0.09,-0.3,29.92,29.93,30.02,29.8,30.6,29.41,5192140,156093172,15:00:03,-438.856,6.133,637786.729449,637786.729449,2.43656
sh688712,C北芯,47.56,-2.08,-4.19,47.56,47.57,49.64,48.88,52.0,47.0,16525934,809150405,15:34:59,-396.333,24.906,1983252.0,176517.5132,44.52665
sh688716,中研股份,38.76,0.88,2.323,38.75,38.76,37.88,37.55,39.49,37.37,2619097,101427598,15:00:03,121.125,3.988,471631.68,271037.71092,3.74546
sh688717,艾罗能源,95.07,-0.04,-0.042,95.07,95.23,95.11,93.99,97.29,91.69,4941297,469937098,15:00:00,74.858,3.342,1521120.0,941647.510656,4.9888
sh688718,唯赛勃,14.57,0.14,0.97,14.55,14.57,14.43,14.42,14.75,14.25,1901607,27681408,15:00:03,66.227,3.252,253160.144773,253160.144773,1.09442
sh688719,爱科赛博,45.89,-0.42,-0.907,45.89,45.92,46.31,46.2,47.3,45.51,1348018,62680959,15:00:03,71.703,3.123,529503.683202,411735.625522,1.50243
sh688720,艾森股份,71.3,0.25,0.352,71.29,71.3,71.05,70.0,73.0,69.92,2196560,157738602,15:00:01,187.632,6.219,628390.67142,402020.21586,3.89569
sh688721,龙图光罩,46.0,0.0,0.0,45.95,46.0,46.0,46.0,46.59,45.46,950481,43754757,15:00:03,55.422,5.091,614100.0,246028.884,1.77711
sh688722,同益中,20.3,0.19,0.945,20.3,20.31,20.11,20.0,20.7,19.87,6086759,124371555,15:34:59,35.0,3.227,456073.401,454933.556,2.71603
sh688726,拉普拉斯,72.5,5.84,8.761,72.49,72.5,66.66,64.15,73.9,64.15,33263103,2327195948,15:00:03,36.935,7.31,2938614.87025,1594452.4365,15.12478
sh688727,恒坤新材,54.3,0.4,0.742,54.29,54.3,53.9,53.33,54.88,53.1,4268036,231571330,15:00:01,217.2,13.084,2439805.428,272820.38595,8.49476
sh688728,格科微,15.44,0.11,0.718,15.43,15.44,15.33,15.2,15.59,15.2,13254114,204630093,15:00:03,220.571,5.134,4015305.813848,3858281.795112,0.5304
sh688729,屹唐股份,24.8,-0.11,-0.442,24.79,24.8,24.91,24.64,25.1,24.6,5989717,149117974,15:00:03,124.0,8.337,7329788.8,533202.31136,2.7859
sh688733,壹石通,29.84,-0.02,-0.067,29.83,29.84,29.86,29.85,30.17,29.39,3362377,100237391,15:00:03,497.333,2.749,596129.16696,596129.16696,1.68308
sh688737,中自科技,27.27,-0.26,-0.944,27.26,27.27,27.53,27.65,29.8,27.22,4764501,136616550,15:00:03,-123.955,1.812,326052.416043,326052.416043,3.98488
sh688739,成大生物,25.71,-0.18,-0.695,25.7,25.71,25.89,25.94,26.1,25.71,1986949,51561959,15:00:00,30.976,1.141,1070692.95,1070692.95,0.47712
sh688750,金天钛业,19.06,-0.12,-0.626,19.06,19.07,19.18,19.0,19.27,18.91,4077406,77933981,15:00:01,47.448,3.595,881525.0,443942.329356,1.75057
sh688755,汉邦科技,40.33,0.02,0.05,40.31,40.33,40.31,40.31,40.48,40.11,304198,12278881,15:00:03,0.0,2.92,354904.0,70980.8,1.7284
sh688757,胜科纳米,30.24,-0.46,-1.498,30.24,30.31,30.7,30.47,30.81,30.03,1323513,40290952,15:00:03,137.455,13.514,1219613.933664,105975.381456,3.77663
sh688758,赛分科技,18.88,0.01,0.053,18.88,18.92,18.87,18.87,19.18,18.67,2102280,39827547,15:00:03,81.239,5.958,786284.190592,562970.772736,0.70503
sh688759,必贝特,42.47,-2.33,-5.201,42.4,42.47,44.8,43.78,46.2,42.15,5863467,257265693,15:00:01,-265.438,70.783,1911305.682279,197324.033307,12.61992
sh688765,禾元生物,73.28,0.47,0.646,73.28,73.3,72.81,73.23,75.0,73.0,1579100,117224232,15:00:01,-130.857,39.611,2619760.0,300292.448544,3.85346
sh688766,普冉股份,275.5,3.25,1.194,275.5,275.58,272.25,269.53,282.0,262.88,5548662,1520930266,15:34:59,99.101,17.947,4078752.7601,4078752.7601,3.74785
sh688767,博拓生物,35.68,-0.35,-0.971,35.67,35.68,36.03,36.22,36.22,35.21,1239713,44260634,15:00:03,22.161,2.278,532821.335712,532821.335712,0.83016
sh688768,容知日新,65.49,0.03,0.046,65.48,65.49,65.46,64.5,66.85,63.8,1401990,92400036,15:00:03,49.992,5.478,576238.081437,571488.982401,1.60662
sh688772,珠海冠宇,19.18,0.18,0.947,19.17,19.18,19.0,18.87,19.48,18.78,19169652,368467623,15:00:03,49.883,3.045,2171532.180272,2171532.180272,1.69315
sh688775,影石创新,223.37,5.37,2.463,223.37,223.39,218.0,218.44,226.59,215.5,1708632,378536598,15:00:01,80.931,15.647,8957137.0,732653.6,5.20924
sh688776,国光电气,113.84,0.34,0.3,113.84,113.85,113.5,112.0,118.76,109.44,3491527,402508293,15:00:00,264.744,6.796,1233836.841896,1233836.841896,3.22146
sh688777,中控技术,87.5,-3.38,-3.719,87.5,87.51,90.88,88.18,90.11,85.58,27790052,2437966119,15:34:59,61.62,6.787,6922908.36125,6853190.435,3.54817
sh688778,厦钨新能,83.8,1.11,1.342,83.8,83.86,82.69,82.49,85.45,80.18,4576415,383406624,15:00:03,71.017,4.695,4229311.27554,4229311.27554,0.90678
sh688779,五矿新能,9.91,0.24,2.482,9.9,9.91,9.67,9.58,10.11,9.4,45363735,447336330,15:00:03,-38.115,2.852,1911856.369904,1911856.369904,2.3514
sh688783,西安奕材,24.82,-0.08,-0.321,24.79,24.82,24.9,24.82,25.05,24.64,4819771,119711910,15:00:01,-118.19,10.745,10021819.6,408580.848452,2.92786
sh688785,恒运昌,363.7,-1.3,-0.356,363.7,363.94,365.0,354.05,386.99,354.05,1752105,649494683,15:00:03,128.972,31.856,2462310.39256,462905.17605,13.76611
sh688786,悦安新材,30.97,0.57,1.875,30.93,30.97,30.4,30.3,31.48,29.95,2405119,74436002,15:00:03,52.492,5.965,445348.609291,445348.609291,1.67254
sh688787,海天瑞声,135.55,-2.45,-1.775,135.55,135.61,138.0,136.0,139.15,133.76,1761878,240284785,15:00:03,713.421,11.193,817707.8149,817707.8149,2.92063
sh688788,科思科技,70.29,0.54,0.774,70.29,70.3,69.75,68.97,72.83,66.66,3985609,281870507,15:00:00,-27.46,5.689,1102670.213832,1102670.213832,2.54064
sh688789,宏华数科,76.5,-1.0,-1.29,76.5,76.61,77.5,77.26,77.7,76.1,1213450,93558765,15:00:03,32.974,4.02,1378959.21855,1378959.21855,0.67318
sh688790,昂瑞微,145.14,-2.16,-1.466,145.14,145.19,147.3,146.01,146.99,144.5,455056,66311415,15:00:01,-166.828,15.827,1444602.919632,175005.036894,3.774
sh688793,倍轻松,22.71,-0.26,-1.132,22.71,22.75,22.97,22.7,22.94,22.21,1799923,40796723,15:00:03,189.25,7.056,195182.046549,195182.046549,2.09426
sh688795,摩尔线程,536.99,2.41,0.451,536.98,536.99,534.58,530.0,542.69,523.01,1643157,876165988,15:34:59,-116.737,64.091,25240045.224683,1577804.745814,5.59232
sh688796,百奥赛图,70.96,-1.87,-2.568,70.96,70.99,72.83,72.22,73.28,70.19,2060236,147337729,15:00:01,887.0,32.5,3171191.18832,254658.700536,5.7408
sh688798,艾为电子,74.86,-0.6,-0.795,74.85,74.86,75.46,74.93,75.77,74.04,2120772,159001998,15:00:03,68.055,4.185,1745200.969096,1016173.89464,1.56234
sh688799,华纳药厂,47.56,0.28,0.592,47.55,47.56,47.28,47.05,48.85,46.72,3473604,165905002,15:00:03,27.177,3.135,624557.92,624557.92,2.64514
sh688800,瑞可达,79.1,-0.6,-0.753,79.1,79.13,79.7,78.98,80.49,78.08,3664291,290690054,15:00:03,71.261,7.094,1626883.98985,1626883.98985,1.7816
sh688802,沐曦股份,493.88,1.92,0.39,493.88,493.9,491.96,485.0,499.99,479.01,1135292,555228865,15:00:01,-70.454,20.701,19760138.8,895847.598524,6.25885
sh688805,健信超导,44.13,-0.23,-0.518,44.12,44.13,44.36,44.03,44.57,43.8,1158331,51237198,15:34:59,100.295,14.673,739971.84,139092.724767,3.67504
sh688807,优迅股份,189.15,-2.77,-1.443,189.14,189.15,191.92,191.0,191.53,188.0,878449,166674527,15:00:03,101.694,18.63,1513200.0,284399.43324,5.84244
sh688809,强一股份,324.86,-11.84,-3.516,324.85,324.86,336.7,334.0,346.68,324.86,3039787,1012646176,15:00:01,135.358,30.547,4208863.4198,791131.850374,12.48218
sh688819,天能股份,34.61,0.36,1.051,34.61,34.62,34.25,33.99,34.91,33.75,2797729,96503041,15:00:03,21.631,1.997,3364438.1,3364438.1,0.2878
sh688981,中芯国际,112.7,0.9,0.805,112.68,112.7,111.8,110.14,114.6,110.14,40822691,4597784625,15:34:59,245.0,5.964,90165470.458,22535069.92723,2.04158
sh689009,九号公司,53.25,0.71,1.351,53.24,53.25,52.54,52.39,54.16,51.9,9933650,529869684,15:34:59,3.476,0.54,3841672.5795,2958877.1034,1.78773
