代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688556,高测股份,14.4,0.2,1.408,14.39,14.4,14.2,13.86,14.83,13.73,58809930,842014775,15:34:59,-180.0,3.066,1196314.46496,1196314.46496,7.07893
sh688557,兰剑智能,39.88,0.48,1.218,39.86,39.88,39.4,39.1,40.42,38.77,1179942,47049590,15:34:59,36.255,3.338,409486.40432,409486.40432,1.14915
sh688558,国盛智科,32.26,0.73,2.315,32.25,32.26,31.53,31.84,32.69,31.35,1319487,42474705,15:00:03,33.258,2.537,425832.0,425832.0,0.99961
sh688559,海目星,56.42,0.58,1.039,56.4,56.42,55.84,55.83,57.44,54.54,7406042,418465118,15:00:03,-74.237,5.917,1397856.526248,1397856.526248,2.98921
sh688560,明冠新材,19.96,0.09,0.453,19.96,19.99,19.87,19.41,20.37,19.12,8436674,167314083,15:00:03,-57.029,1.513,401798.628328,401798.628328,4.19105
sh688561,奇安信,34.56,0.0,0.0,34.56,34.57,34.56,34.31,35.3,34.0,7082378,245664361,15:00:03,-17.109,2.896,2357865.4176,2357865.4176,1.03809
sh688562,航天软件,21.98,-0.2,-0.902,21.98,21.99,22.18,22.0,22.44,21.82,5134067,113822420,15:00:01,-104.667,5.379,879200.0,380297.96,2.96733
sh688563,航材股份,71.93,-1.3,-1.775,71.93,71.94,73.23,72.02,73.46,70.07,4776691,342148444,15:00:03,55.76,3.075,3236850.0,841501.826649,4.08303
sh688565,力源科技,13.19,0.05,0.381,13.12,13.19,13.14,13.02,13.38,12.98,2554105,33748353,15:00:01,659.5,4.014,197493.87,197493.87,1.70581
sh688566,吉贝尔,28.56,0.38,1.348,28.55,28.56,28.18,27.98,28.85,27.98,2230320,63552707,15:00:03,25.274,2.415,569574.55044,569574.55044,1.11834
sh688567,孚能科技,14.46,0.22,1.545,14.46,14.48,14.24,14.15,14.66,14.07,11740798,169684509,15:00:01,-53.556,1.836,1767162.21771,1767162.21771,0.9607
sh688568,中科星图,66.74,-0.76,-1.126,66.73,66.74,67.5,67.0,69.11,66.66,13626886,921935422,15:34:59,102.677,13.947,5393118.658688,5393118.658688,1.68633
sh688569,铁科轨道,20.95,0.14,0.673,20.93,20.95,20.81,20.82,21.02,20.66,1003176,20989045,15:00:03,20.539,1.539,441346.7365,441346.7365,0.47619
sh688570,天玛智控,19.05,0.12,0.634,19.05,19.07,18.93,18.99,19.23,18.91,1128010,21574607,15:00:01,24.423,1.926,824865.0,358521.0,0.59937
sh688571,杭华股份,7.96,0.1,1.272,7.95,7.96,7.86,7.89,8.06,7.79,4582205,36495709,15:00:03,23.412,2.097,337639.8772,337639.8772,1.08027
sh688573,信宇人,23.05,0.25,1.096,23.05,23.08,22.8,22.7,23.35,22.53,1848993,42464100,15:00:01,-35.462,3.548,225323.86434,122663.398625,3.47449
sh688575,亚辉龙,14.45,-0.08,-0.551,14.45,14.46,14.53,14.48,14.65,14.41,2688433,39155724,15:00:01,27.264,3.055,825656.0935,825656.0935,0.47051
sh688576,西山科技,84.22,-1.78,-2.07,84.22,84.29,86.0,86.0,86.0,83.02,909459,76844128,15:00:01,42.751,2.23,383201.50532,183534.236858,4.17332
sh688577,浙海德曼,75.1,1.84,2.512,75.1,75.12,73.26,73.26,76.26,72.8,1560746,116931598,15:00:01,220.882,8.374,835710.76479,835710.76479,1.40254
sh688578,艾力斯,97.0,-1.07,-1.091,97.0,97.06,98.07,98.24,98.97,96.96,2375420,232460520,15:00:03,30.503,6.717,4365000.0,4365000.0,0.52787
sh688579,山大地纬,11.64,-0.13,-1.105,11.63,11.64,11.77,11.68,11.81,11.5,4558563,53279365,15:00:01,72.659,3.376,465611.64,465611.64,1.13961
sh688580,伟思医疗,55.27,-1.04,-1.847,55.27,55.29,56.31,54.95,56.11,54.61,1459625,80961291,15:00:01,51.727,3.193,529327.908776,529327.908776,1.52407
sh688581,安杰思,61.15,-0.25,-0.407,61.15,61.3,61.4,61.4,61.6,60.88,397154,24370683,15:00:03,16.793,1.994,496061.513085,254137.571615,0.95562
sh688582,芯动联科,64.18,-0.1,-0.156,64.18,64.19,64.28,63.62,64.8,63.07,3609212,231294704,15:00:03,114.607,10.628,2578361.261408,1605905.901408,1.44242
sh688583,思看科技,156.5,-1.82,-1.15,156.5,156.68,158.32,159.0,161.04,150.89,3761236,586078033,15:00:03,66.314,11.975,1383460.0,482073.8673,12.21044
sh688584,上海合晶,22.62,-0.27,-1.18,22.62,22.63,22.89,22.74,23.08,22.48,2962723,67596896,15:00:01,125.667,3.651,1505266.794486,768601.344966,0.87193
sh688585,上纬新材,144.14,1.26,0.882,144.14,144.15,142.88,145.0,148.95,142.5,4266960,624091008,15:34:59,655.182,43.588,5814055.947392,5814055.947392,1.05785
sh688586,江航装备,15.73,-0.79,-4.782,15.73,15.74,16.52,16.22,16.52,15.68,22711643,362787227,15:00:03,98.313,5.045,1244776.492388,1244776.492388,2.87003
sh688588,凌志软件,14.11,-0.11,-0.774,14.11,14.12,14.22,14.21,14.28,14.04,3356886,47608461,15:00:03,44.274,4.583,564414.114233,564414.114233,0.8392
sh688589,力合微,24.08,-0.37,-1.513,24.08,24.12,24.45,24.21,24.57,24.07,2798117,68011599,15:00:01,34.4,3.658,349950.669208,349950.669208,1.92538
sh688590,新致软件,17.1,-0.18,-1.042,17.09,17.1,17.28,17.09,17.33,16.76,7313887,124944426,15:00:03,570.0,3.135,449554.81392,449554.81392,2.78203
sh688591,泰凌微,42.02,-0.33,-0.779,42.02,42.03,42.35,42.0,42.95,41.67,4892794,207186568,15:34:59,102.488,4.086,1011604.338272,707773.769912,2.90482
sh688592,司南导航,48.99,-1.01,-2.02,48.9,48.99,50.0,49.03,50.95,48.76,1827031,90342495,15:34:59,-92.434,4.261,394176.547986,188718.165927,4.74285
sh688593,新相微,25.2,0.04,0.159,25.2,25.21,25.16,24.8,25.9,24.15,8791255,221285870,15:34:59,1400.0,7.471,1158014.11824,813157.94196,2.72444
sh688595,芯海科技,38.48,-0.58,-1.485,38.47,38.48,39.06,38.0,39.45,37.63,5523086,213576467,15:00:00,-31.285,7.708,554470.218016,554470.218016,3.833
sh688596,正帆科技,32.53,-0.25,-0.763,32.53,32.54,32.78,32.5,33.05,32.35,4635959,151719959,15:00:03,17.303,2.673,956808.510589,956808.510589,1.57615
sh688597,煜邦电力,9.47,0.15,1.609,9.43,9.47,9.32,9.26,9.66,9.26,5679230,54008695,15:00:01,19.327,3.8,318248.823788,318248.823788,1.68995
sh688598,金博股份,27.1,0.4,1.498,27.1,27.13,26.7,26.65,27.6,26.18,5798083,156855674,15:00:03,-6.809,1.132,562523.14436,551689.91936,2.84812
