fund_code,index_code,effective_weight
000827,H30373,0.95
000828,000906,0.85
000828,中证全债指数,0.15
000831,930726,0.85
000835,XIN9,0.95
000845,000300,0.6
000849,000906,0.6
000850,000906,0.6
000854,000300,0.8
000854,中证全债指数,0.2
000866,000012,0.2
000866,932119,0.8
000867,000012,0.2
000867,000300,0.8
000877,000300,0.95
000878,000933,0.5
000878,中证全债指数,0.5
000879,000933,0.5
000879,中证全债指数,0.5
000880,000300,0.65
000884,000300,0.85
000884,H11006,0.15
000892,000300,0.6
000893,000906,0.8
000894,000300,0.17
000894,930930,0.03
000913,000933,0.8
000913,中证全债指数,0.2
000916,000300,0.95
000924,932119,0.7
000924,中证全债指数,0.3
000925,000300,0.8
000928,000012,0.45
000928,399974,0.55
000929,黄金现货,1.0
000930,黄金现货,1.0
000932,000300,0.15
000932,中证全债指数,0.85
000933,000300,0.15
000933,中证全债指数,0.85
000935,000300,0.7
000936,000988,0.7
000939,000300,0.6
000940,000907,0.8
000942,000993,0.95
000945,000012,0.35
000945,000933,0.65
000946,000012,0.35
000946,000933,0.65
000948,HSI,0.95
000950,000849,0.95
000955,000012,0.2
000955,000300,0.8
000960,000808,0.8
000961,000300,0.95
000962,000905,0.95
000965,000906,0.8
000966,000012,0.4
000966,000300,0.6
000967,000964,0.6
000968,399812,0.95
000969,000300,0.7
000969,中证全债指数,0.3
000971,000300,0.8
000971,中证全债指数,0.2
000974,000012,0.1
000974,000906,0.9
000976,000964,0.55
000977,000827,0.5
000978,000905,0.95
000979,000300,0.45
000979,HSI,0.45
000979,中证全债指数,0.1
000985,000300,0.8
000985,中证全债指数,0.2
000988,.DJUSNS,0.4
000988,H11136,0.45
000989,.DJUSNS,0.4
000989,H11136,0.45
000990,.DJUSNS,0.4
000990,H11136,0.45
000991,000906,0.8
000993,000012,0.45
000993,000300,0.55
000994,000300,0.65
000995,000300,0.65
000996,000300,0.8
001000,000300,0.8
001007,000012,0.5
001007,000300,0.5
001008,000955,0.8
001009,000906,0.85
001015,000300,0.95
001016,000300,0.95
001017,000300,0.5
001017,中证全债指数,0.5
001018,000906,0.65
001027,399814,0.95
001028,000906,0.8
001030,000932,0.6
001030,中证全债指数,0.4
001036,000300,0.8
001036,中证全债指数,0.2
001037,000300,0.6
001039,000012,0.2
001039,H11054,0.8
001040,000012,0.2
001040,000300,0.8
001042,000012,0.1
001042,000300,0.9
001043,000300,0.8
001044,000942,0.95
001047,399974,0.8
001047,中证全债指数,0.2
001048,000906,0.7
001048,930930,0.1
001050,000905,0.95
001051,000016,0.95
001052,000905,0.95
