代码	名称
HSLMI	恒生综合大中型股指数
HSLMEMQ	大中型股等权重混合因子(QVLM)
HSLKER	恒指1.2倍韩元重置额外回报
HSLI	恒生综合大型股指数
HSITI	恒生资讯科技业(可投资)指数
HSIT	恒生资讯科技业指数
HSISUI	恒指可持续发展指数
HSISI	恒指短仓指数
HSISC	恒指港股通指数
HSIRMBH	恒指人民币对冲指数
HSIQHK	恒指汇率连动港元韩元调控指数
HSIOCC	恒指5%价外备兑认购期权指数
HSINTRI	恒生指数(NTR)
HSINOCC	恒指NTR5%价外备兑认购期权指数
HSINCC	恒指净股息累计备兑认购期权指数
HSILOWC	恒指低碳指数
HSILI	恒指杠杆指数
HSIKRWH	恒指韩元对冲指数
HSIJPYH	恒指日元对冲指数
HSIII	恒生互联网科技业指数
HSIGTRI	恒生指数(GTR)
HSIGBPH	恒指英镑对冲指数
HSIEURH	恒指欧罗对冲指数
HSIEURDH	恒指欧罗每日对冲指数
HSIESGS	恒指ESG增强指数
HSIESG	恒指ESG指数
HSIDPI	恒指股息点指数
HSIDI	恒生创新药指数
HSICC	恒指备兑认购期权指数
HSI2SI	恒指2倍短仓指数
HSI125LI	恒指1.25倍杠杆指数
HSI	恒生指数
HSHYLV	恒生港股通高股息低波动指数
HSHKS50	恒生港股通高持股50指数
HSHKS	恒生港股通小型股指数
HSHKMS	恒生港股通中小型股指数
HSHKLB	恒生香港上市银行指数
HSHKI	恒生港股通指数
HSHKBIO	恒生生物科技指数
HSHK35	恒生香港35
HSHE	恒生沪深港通氢能主题指数
HSHDYI	恒生高股息率指数
HSHD30	恒生高息股30指数
HSHCI	恒生医疗保健指数
HSHBI	恒生增幅指数
HSH40	恒生H40参考指数
HSFNTRI	恒生金融分类指数(NTR)
HSFML25	恒生中国(香港上市)30指数
HSFI	恒生期货指数
HSFGTRI	恒生金融分类指数(GTR)
HSFCCI	恒生外国公司综合指数
HSF	恒生金融分类指数
HSEWI	恒生等权重指数
HSESG50	恒生ESG50指数
HSCTT10	恒生中国科技10强精选指数
HSCSSE	恒生A股专精特新企业指数
HSCSS50	恒生A股专精特新50指数
HSCSOE	恒生中国央企指数
HSCSEI	恒生中国国有企业指数
HSCNE	恒生中国新经济指数
HSCIUT	恒生综合公用事业指数
HSCITC	恒生电讯业指数
HSCIPC	恒生地产建筑业指数
HSCINTRI	恒生工商业分类指数(NTR)
HSCIMT	恒生原材料业指数
HSCIIT	恒生资讯科技业指数
HSCIIN	恒生工业指数
HSCIGTRI	恒生工商业分类指数(GTR)
HSCIFN	恒生金融业指数
HSCIEN	恒生能源业指数
HSCICS	恒生必需性消费指数
HSCICO	恒生综合企业指数
HSCICH	恒生医疗保健业指数
HSCICD	恒生非必需性消费指数
HSCI	恒生综合指数
HSCHDY	恒生中国高股息率指数
HSCGSI	恒生消费品制造及服务业指数
HSCESI	恒生中国企业精明指数
HSCESGE	恒生国指ESG增强指数
HSCERMBH	恒生国指人民币对冲指数
HSCEOCC	国指5%价外备兑认购期权指数
HSCENOCC	国指NTR5%价外备兑认购期权指数
HSCENCC	国指NTR备兑认购期权指数
HSCELKER	恒生国指1.2倍韩元重置额外回报
HSCEKRWH	恒生国指韩元对冲指数
HSCEKHD	恒生国指净股息韩元对冲400逐减
HSCEKER	恒生国指韩每日重置额外回报指数
HSCEJPYH	恒生国指日圆对冲指数
HSCEISI	恒生国企短仓指数
HSCEIQHK	恒生国指港韩元汇率连动调控指数
HSCEINTRI	恒生中国企业指数(NTR)
HSCEILI	恒生国企杠杆指数
HSCEIGTRI	恒生中国企业指数(GTR)
HSCEIESG	恒生国指ESG指数
HSCEIEK	恒生国指ESG韩元每日重置
HSCEIDPI	恒生国企股息点指数
HSCEI2SI	恒生国企2倍短仓指数
HSCEI2LI	恒生国指股息累计2倍杠杆指数
HSCEI	国企指数
HSCEGBPH	恒生国指英镑对冲指数
HSCEFS	恒生中国企业期货短仓指数
HSCEFKH	恒生国指韩元对冲3.4%逐减总回报
HSCEFI	恒生中国企业期货指数
HSCEF2L	恒生中国企业期货2倍杠杆指数
HSCEEWI	恒生中国企业等权重指数
HSCEEURH	恒生国指欧罗对冲指数
HSCEEURDH	恒生国指欧罗每日对冲指数
HSCEER	恒生国指每日重置额外回报指数
HSCEENKH	恒生国指ESG韩元对冲40逐减
HSCEEKH	恒生国指ESG韩元对冲指数
HSCECC	国指备兑认购期权指数
HSCCI	红筹指数
HSCAYCI	恒生A股股息率全选指数
HSCAVCI	恒生A股价值全选指数
HSCAUPG	恒生A股电网设备指数
HSCAUI	恒生A股公用事业指数
HSCATI	恒生沪深港航运主题指数
HSCAT100	恒生A股100强指数
HSCASUSB	恒生A股可持续发展企业基准指数
HSCASUS	恒生A股可持续发展企业指数
HSCASS	恒生A股软件服务指数
HSCASI	恒生A股软件开发指数
HSCASEMI	恒生A股半导体指数
HSCASCI	恒生A股规模全选指数
HSCASC	恒生A股特殊化工用品指数
HSCARI	恒生A股机器人主题指数
HSCAQCI	恒生A股质量全选指数
HSCAPI	恒生A股药品指数
HSCAPB	恒生A股药品及生物科技指数
HSCAP	恒生A股地产指数
HSCAOMM	恒生A股其他金属及矿物指数
HSCAOF	恒生A股其他金融指数
HSCANEM	恒生A股新能源物料指数
HSCAMD	恒生A股医疗设备及用品指数
HSCAMCI	恒生A股动量全选指数
HSCALCS	恒生A股通低碳精选指数
HSCALCI	恒生A股低波幅全选指数
HSCAITH	恒生A股资讯科技器材指数
HSCAIT	恒生A股行业龙头指数
HSCAII	恒生A股(可投资)指数
HSCAIE	恒生A股创业指数
HSCAICE	恒生A股工业零件及器材指数
HSCAHSI	恒生AH股精明指数
HSCAHES	恒生A股医疗保健设备和服务指数
HSCAHE	恒生A股家庭电器及用品指数
HSCAESU	恒生A股能源储存装置指数
HSCAESL	恒生A股通ESG领先指数
HSCAESG	恒生A股通300ESG指数
HSCAESE	恒生A股通300ESG增强指数
HSCAEC	恒生A股电子零件指数
HSCAE50	恒生A股通ESG50指数
HSCAE	恒生A股能源业指数
HSCADMM	恒生A股一般金属及矿石指数
HSCACSI	恒生A股充电桩基础设施主题指数
HSCAC	恒生A股建筑指数
HSCABIO	恒生A股生物技术指数
HSCAB	恒生A股银行指数
HSCAAP	恒生A股农业产品指数
HSCAAI	恒生沪深港汽车主题指数
HSCAAD	恒生A股航空航天与国防指数
HSCAAS	恒生A股酒精饮料指数
HSCA300	恒生A股通300指数
HSC80	恒生沪深港通中国80指数
HSC500	恒生沪深港通中国500指数
HSC50	恒生神州50指数
HSC	恒生工商业指数
HSBART	恒生沪深港通大湾区区域龙头指数
HSBAQL	恒生沪深港通大湾区优质生活指数
HSBAQG	恒生沪深港通大湾区质量成长指数
HSBAPC	恒生沪深港通大湾区地产建筑指数
HSBANE	恒生沪深港通大湾区新经济指数
HSBAIT	恒生沪深港通大湾区IT业指数
HSBAIN	恒生沪深港通大湾区基建运输指数
HSBAI50	恒生沪深港通大湾区创新50指数
HSBAI	恒生沪深港通大湾区工业指数
HSBAHD	沪深港通大湾区股息率指数
HSBAF	恒生沪深港通大湾区金融业指数
HSBACS	恒生沪深港通大湾区消费服务指数
HSBACG	恒生沪深港通大湾区消费品指数
HSASNE	恒生亚洲精选新经济指数
HSAMI	恒生港股通自动驾驶主题指数
HSAIT	恒生人工智能主题指数
HKKRTS	恒生韩交所港韩科技半导体指数
HKKRT	恒生韩交所港韩科技指数
HKKRLC	恒生韩交所港韩大型股指数
HKKRBH	恒生韩交所港韩生科医疗指数
H11153	内地国有
H11152	内地民营
H11144	HKT内地消费
H11143	HKT内地地产
H11140	香港红利
H11123	香港内地50
H11120	香港中盘精选
H11110	香港F50
H11100	香港100
H-FIN	恒生中国H股金融行业指数
CESP50	中华港股通优选50
CESHKM	中华香港内地指数
CESHKB	中华香港生物科技
CESG10	中华博彩指数
CESA80	中华A80
CES300	中华沪港通300
CES280	中华280
CES120	中华120
CES100	中华港股通精选100
AHXH	恒生AH股H指数
AHXAH	恒生AH股A+H指数
AHXA	恒生AH股A指数
990001	中华半导体芯片行业指数
